priority,shipping_cost,customer_name,ship_mode,customer_segment,product_category,product_subcategory,product_container,product_name,country,state_region,order_date,ship_date,quantity,unit_price,discount,sales,profit
High,30,Andrew Pearce,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Every-Day® Chair Series Swivel Task Chairs,United States,Kansas,02/12/2015,02/14/2015,2,120.98,0.05,251.06,-78.7592
Not Specified,9.07,Neil Barbee,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC VeloBinder Electric Binding Machine,United States,Illinois,05/30/2015,05/31/2015,11,120.98,0.05,1276.88,881.0472
Low,3.99,Debra Block,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 325VA UPS Surge Protector 6',United States,Texas,05/05/2015,05/05/2015,17,120.98,0.04,2013.88,1389.5772
Critical,9.07,Gary Hester,Express Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC VeloBinder Electric Binding Machine,United States,Texas,04/09/2015,04/11/2015,5,120.98,0.1,568.24,297.45716
Critical,58.64,Erika Jordan,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,O'Sullivan Living Dimensions 2-Shelf Bookcases,United States,Pennsylvania,02/13/2015,02/15/2015,11,120.98,0.02,1370.99,-1330.5
Low,70.2,Eileen McDonald,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global High-Back Leather Tilter  Burgundy,United States,Utah,04/19/2015,04/24/2015,10,122.99,0.08,1216.52,-1867.97
Low,70.2,Billy Hale,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Global High-Back Leather Tilter  Burgundy,United States,New Jersey,01/26/2015,01/30/2015,4,122.99,0.05,498.31,-722.23
High,70.2,Annette Boone,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global High-Back Leather Tilter  Burgundy,United States,Vermont,02/02/2015,02/04/2015,12,122.99,0.09,1400.53,-2426.55
Critical,70.2,Earl Watts,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Global High-Back Leather Tilter  Burgundy,United States,Minnesota,06/14/2015,06/15/2015,17,122.99,0.1,2026.91,-899.675
Low,19.99,Mildred Briggs,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,United States,Michigan,05/05/2015,05/07/2015,12,122.99,0.06,1477.84,1019.7096
Low,19.99,Geoffrey Saunders,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,United States,New York,05/05/2015,05/07/2015,48,122.99,0.06,5911.35,1408.1865
Critical,70.2,Edgar Kumar,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global High-Back Leather Tilter  Burgundy,United States,Maine,01/28/2015,01/29/2015,14,122.99,0,1794.88,-1764.29
High,70.2,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global High-Back Leather Tilter  Burgundy,United States,New York,02/02/2015,02/04/2015,49,122.99,0.09,5718.85,-2426.55
Critical,19.99,Teresa Watts,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,United States,Idaho,06/08/2015,06/11/2015,12,122.99,0.05,1506.89,1039.7541
High,51.94,Herbert Holden,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,Georgia,06/12/2015,06/14/2015,4,124.49,0.04,605.82,-247.55157
Not Specified,51.94,Benjamin Chan,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,California,02/24/2015,02/24/2015,1,124.49,0.05,120.12,-44.1636
Critical,51.94,Barbara McNamara,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,Arizona,05/24/2015,05/25/2015,14,124.49,0.07,1714.93,1074.44
Medium,51.94,Walter Young,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,Utah,06/18/2015,06/19/2015,14,124.49,0.08,1707.84,-250.19
High,51.94,Helen Simpson,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,Oklahoma,06/12/2015,06/14/2015,1,124.49,0.04,151.46,-93.0645
High,51.94,Joan Floyd,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,Mississippi,02/13/2015,02/14/2015,7,124.49,0.03,894.88,-4.018
Medium,51.94,Kristine Connolly,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,California,06/18/2015,06/19/2015,56,124.49,0.08,6831.37,-500.38
High,51.94,Paige Powers,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,Arkansas,03/26/2015,03/27/2015,21,124.49,0.03,2761.94,18.174
Not Specified,51.94,Brooke Lancaster,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,United States,Indiana,06/25/2015,06/26/2015,18,124.49,0.01,2376.12,-94.674645
High,8.99,Eugene Clayton,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,M70,United States,Washington,04/17/2015,04/18/2015,1,125.99,0.01,113.44,-582.648
Critical,5.26,Billie Fowler,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,232,United States,Texas,01/05/2015,01/05/2015,6,125.99,0.04,660.03,455.4207
Medium,2.5,Robin Tyler,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,i2000,United States,Kentucky,02/03/2015,02/05/2015,11,125.99,0.06,1173.76,402.066
High,8.99,Dana Teague,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,M70,United States,District of Columbia,04/17/2015,04/18/2015,2,125.99,0.01,226.88,-582.648
Critical,7.69,Nathan Newton,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Timeport L7089,United States,North Carolina,03/27/2015,03/28/2015,9,125.99,0.04,934.52,-528.836
High,7.69,Ricky Allred,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Timeport L7089,United States,South Carolina,04/06/2015,04/06/2015,11,125.99,0.01,1212.88,8.322
Medium,7.69,Irene Murphy,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,StarTAC 3000,United States,Washington,04/29/2015,04/30/2015,7,125.99,0.08,710.36,374.625
Not Specified,8.08,Gerald Kearney,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC ST7762,United States,Illinois,04/09/2015,04/10/2015,22,125.99,0,2356.01,1348.59672
Medium,7.69,Joanne Church,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,United States,California,04/09/2015,04/10/2015,8,125.99,0.07,852.53,588.2457
Low,7.69,Tonya Proctor,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,Timeport L7089,United States,California,02/07/2015,02/09/2015,7,125.99,0.08,703.46,377.154
High,7.69,Sally Liu,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Timeport L7089,United States,Wisconsin,04/13/2015,04/15/2015,23,125.99,0.08,2424.68,1269.38196
High,2.5,Michelle Steele,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,i2000,United States,Alabama,04/01/2015,04/02/2015,2,125.99,0.01,220.52,-967.834
Not Specified,8.99,Harriet Bowman,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,5170i,United States,South Carolina,01/25/2015,01/28/2015,4,125.99,0.1,408.66,17.652
Medium,8.99,Beverly Cooke Brooks,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,SC7868i,United States,Connecticut,03/15/2015,03/16/2015,1,125.99,0.09,100.38,-605.374
Low,8.99,Chris F Brandt,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,M70,United States,Pennsylvania,01/09/2015,01/16/2015,1,125.99,0.04,107.95,-627.82192
Medium,4.2,Phillip Blum,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,i1000plus,United States,Oregon,01/13/2015,01/14/2015,14,125.99,0.08,1434.51,989.8119
Low,8.08,Alice Berger McIntyre,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC ST7762,United States,Massachusetts,06/22/2015,06/27/2015,9,125.99,0.05,952.26,427.1184
Critical,4.2,Alexander O'Brien,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,V3682,United States,Texas,03/20/2015,03/22/2015,47,125.99,0.04,4976.92,510.489
Medium,7.69,Marguerite Yu,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Timeport L7089,United States,Texas,06/03/2015,06/05/2015,9,125.99,0.03,981.65,500.958
Low,4.2,Glenda Simon,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V3682,United States,California,02/28/2015,02/28/2015,7,125.99,0.1,681.42,372.402
Medium,7.69,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,United States,Oregon,01/20/2015,01/22/2015,8,125.99,0.09,783.55,209.997
High,8.99,Marcia Feldman,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,SC7868i,United States,Arkansas,04/16/2015,04/18/2015,9,125.99,0.01,1011.44,-45.472
Critical,2.5,Kent Burton,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,i2000,United States,Ohio,03/13/2015,03/13/2015,1,125.99,0.07,100.59,-604.406
Critical,4.2,Lawrence Hester,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,V3682,United States,Kentucky,03/20/2015,03/22/2015,12,125.99,0.04,1270.7,-236.25
Low,3,Amy Ellis Holder,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,270c,United States,Colorado,05/26/2015,05/26/2015,8,125.99,0.02,873.18,398.358
Low,2.5,Stacy Gould,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,i2000,United States,Michigan,02/05/2015,02/09/2015,18,125.99,0.09,1824.33,1258.7877
Low,8.99,Joy Maxwell,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,SC7868i,United States,Arizona,05/25/2015,06/02/2015,20,125.99,0.09,2104.99,916.6806
High,8.8,Jack Hatcher,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,StarTAC 6500,United States,Texas,04/20/2015,04/21/2015,18,125.99,0.06,1811.99,618.19308
Low,8.99,Daniel Richmond,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,M70,United States,Ohio,01/16/2015,01/21/2015,6,125.99,0.01,680.65,426.46032
Not Specified,8.99,Stuart Holloway,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,5170i,United States,Washington,04/27/2015,04/29/2015,12,125.99,0,1362.2,613.89576
Medium,2.5,Amy Hamrick Melvin,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,6162,United States,New York,01/17/2015,01/19/2015,3,125.99,0,337.34,-815.9008
Critical,12.65,Cameron Owens,Regular Air,Corporate,Furniture,Chairs & Chairmats,Medium Box,SAFCO Folding Chair Trolley,United States,Kentucky,04/18/2015,04/21/2015,4,128.24,0.01,554.08,140.1354
Not Specified,12.65,Rosemary Branch,Regular Air,Corporate,Furniture,Chairs & Chairmats,Medium Box,SAFCO Folding Chair Trolley,United States,Florida,05/12/2015,05/13/2015,3,128.24,0.08,366.44,-379.344
Medium,12.65,Eva Simpson,Regular Air,Corporate,Furniture,Chairs & Chairmats,Medium Box,SAFCO Folding Chair Trolley,United States,Texas,01/31/2015,02/02/2015,9,128.24,0.03,1145.6,790.464
Medium,30,Elsie Hwang,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Contemporary Task Swivel chair with 2-way adjustable arms  Plum,United States,Vermont,04/28/2015,05/01/2015,10,130.98,0.09,1282.67,-421.76
Critical,30,Janice Frye,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Contemporary Task Swivel chair with 2-way adjustable arms  Plum,United States,New Mexico,05/22/2015,05/24/2015,18,130.98,0.1,2259.99,2000.11
Critical,30,Miriam Mueller,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Contemporary Task Swivel chair with 2-way adjustable arms  Plum,United States,Tennessee,04/18/2015,04/19/2015,6,130.98,0.02,793.39,90.762
Low,54.74,Wesley Reid,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,O'Sullivan Elevations Bookcase  Cherry Finish,United States,Nebraska,06/12/2015,06/12/2015,14,130.98,0.04,1781.66,-723.784
Not Specified,30,Valerie Moon,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Contemporary Task Swivel chair with 2-way adjustable arms  Plum,United States,Minnesota,06/25/2015,06/28/2015,1,130.98,0.04,159.51,-82.904
Medium,30,Billy Perry Browning,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Contemporary Task Swivel chair with 2-way adjustable arms  Plum,United States,Massachusetts,04/28/2015,05/01/2015,41,130.98,0.09,5258.94,-421.76
Low,54.74,Virginia Gay,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,O'Sullivan Elevations Bookcase  Cherry Finish,United States,Kansas,06/17/2015,06/21/2015,9,130.98,0.1,1155.73,-530.24
Low,54.74,David Wrenn,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,O'Sullivan Elevations Bookcase  Cherry Finish,United States,Kentucky,02/27/2015,03/06/2015,3,130.98,0.06,411.64,14.76
Low,54.74,Jerry Webster,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,O'Sullivan Elevations Bookcase  Cherry Finish,United States,Florida,05/23/2015,05/23/2015,42,130.98,0.1,5295.03,669.612
High,24.49,Sidney Greenberg,Express Air,Home Office,Furniture,Office Furnishings,Large Box,3M Polarizing Task Lamp with Clamp Arm  Light Gray,United States,California,01/12/2015,01/14/2015,12,136.98,0.04,1634.13,1127.5497
Not Specified,24.49,Michelle Bryant Phillips,Express Air,Small Business,Furniture,Office Furnishings,Large Box,3M Polarizing Task Lamp with Clamp Arm  Light Gray,United States,Georgia,06/02/2015,06/03/2015,8,136.98,0.02,1140.95,88.56
Medium,32.18,Andrew Levine,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,United States,Pennsylvania,01/07/2015,01/08/2015,10,137.48,0,1483.76,-203.27
Medium,32.18,Peter Hardy,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,United States,Ohio,01/07/2015,01/08/2015,2,137.48,0,296.75,-203.27
Critical,35,Jeffrey Page,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,SAFCO Commercial Wire Shelving  Black,United States,Maine,02/24/2015,02/26/2015,4,138.14,0.01,599.03,-321.51
Medium,52.42,Willie Robinson,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Balt Split Level Computer Training Table,United States,New York,03/24/2015,03/25/2015,6,138.75,0.09,659.42,-335.317125
Medium,52.42,Gene Gilliam,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Balt Split Level Computer Training Table,United States,Georgia,03/24/2015,03/25/2015,23,138.75,0.09,2527.79,-445.97177625
Not Specified,24.49,Maxine Collier Grady,Regular Air,Consumer,Furniture,Chairs & Chairmats,Large Box,Hon Olson Stacker Stools,United States,Texas,06/06/2015,06/08/2015,81,140.81,0.08,11272.77,1232.79
Medium,19.99,Gene Heath Cross,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Strictly Business® Drawer File  Letter/Legal Size,United States,New York,04/07/2015,04/09/2015,19,140.85,0.1,2465.75,9.9912
Low,53.48,Richard McClure,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,Bush Heritage Pine Collection 5-Shelf Bookcase  Albany Pine Finish  *Special Order,United States,Colorado,03/08/2015,03/15/2015,5,140.98,0.07,734.74,-263.65
Not Specified,36.09,Tim Connolly,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,Sauder Forest Hills Library  Woodland Oak Finish,United States,Minnesota,03/25/2015,03/27/2015,4,140.98,0.03,608.81,-221.5
Low,36.09,Vickie Coates,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,Sauder Forest Hills Library  Woodland Oak Finish,United States,Texas,04/23/2015,04/25/2015,5,140.98,0.05,699.24,-373.09
Low,4.2,Kimberly Reilly,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,7160,United States,Texas,03/29/2015,04/06/2015,2,140.99,0.03,246.44,-458.744
Not Specified,19.99,Brad H Blake,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,United States,Florida,04/01/2015,04/03/2015,23,142.86,0.03,3292.02,-8.3881
Low,19.99,Carolyn Bowling,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,United States,Virginia,04/24/2015,05/03/2015,11,142.86,0,1576.35,-739.326
Low,17.85,Eddie Walker,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,United States,Minnesota,02/04/2015,02/04/2015,8,145.45,0.08,1117.66,751.58
Critical,17.85,Betsy Puckett,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,United States,Oklahoma,01/05/2015,01/07/2015,8,145.45,0,1191.2,801.7468
Not Specified,17.85,Sally House,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,United States,Texas,03/22/2015,03/23/2015,8,145.45,0.01,1214.03,837.6807
Not Specified,46.2,Glenda Hunter,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis Rectangular Conference Tables,United States,California,06/03/2015,06/03/2015,9,145.98,0.01,1370.79,-134.512
Medium,80.2,Charlotte L Doyle,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,BPI Conference Tables,United States,Florida,02/04/2015,02/05/2015,11,146.05,0.08,1557.66,-27.951
Medium,80.2,Marshall Brandt Briggs,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BPI Conference Tables,United States,Tennessee,02/23/2015,02/23/2015,5,146.05,0.02,798.69,-101.192
High,43.75,Beth Dolan,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis Round Conference Table Top & Single Column Base,United States,Florida,01/03/2015,01/04/2015,2,146.34,0.1,283.55,-473.578
Medium,43.75,Clyde Burnett,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis Round Conference Table Top & Single Column Base,United States,California,06/16/2015,06/18/2015,12,146.34,0.06,1721.24,-89.27
High,43.75,Joe Baldwin,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis Round Conference Table Top & Single Column Base,United States,New York,01/03/2015,01/04/2015,6,146.34,0.1,850.64,-270.85
Critical,60.2,Lee Hancock,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Global Leather & Oak Executive Chair  Burgundy,United States,Maine,02/22/2015,02/22/2015,23,150.89,0.03,3596.03,-677.872
Not Specified,60.2,Marion Owens,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global Leather & Oak Executive Chair  Burgundy,United States,Pennsylvania,03/27/2015,03/30/2015,3,150.89,0.01,473.53,-505.76
Not Specified,43.71,Arlene Wiggins Dalton,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Airflow Leather Mesh Back Chair  Black,United States,Texas,05/24/2015,05/25/2015,12,150.98,0.05,1857.08,650.3
Not Specified,16.01,Miriam Bowman,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Iceberg OfficeWorks 42  Round Tables,United States,Florida,02/22/2015,02/23/2015,5,150.98,0.04,731.38,-125.86
Medium,13.99,Aaron Riggs,Express Air,Small Business,Technology,Office Machines,Medium Box,Canon MP41DH Printing Calculator,United States,Oregon,06/22/2015,06/24/2015,3,150.98,0.02,480.37,26.1
Not Specified,13.99,Herbert Beard,Regular Air,Home Office,Technology,Office Machines,Medium Box,Canon MP41DH Printing Calculator,United States,Texas,02/12/2015,02/15/2015,6,150.98,0.04,878.34,606.0546
High,66.27,Mary Hewitt,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,Bush Mission Pointe Library,United States,Missouri,01/03/2015,01/04/2015,2,150.98,0.09,302.34,-407.85
High,13.99,Faye Manning,Express Air,Corporate,Technology,Office Machines,Medium Box,Canon MP41DH Printing Calculator,United States,Florida,01/26/2015,01/27/2015,8,150.98,0.08,1183.82,-3.948
Not Specified,30,Lee McKenna Gregory,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex Swivel Fabric Task Chair,United States,South Carolina,01/06/2015,01/08/2015,6,150.98,0.01,958.46,131.382
Critical,6.5,Gary Hester,Express Air,Consumer,Technology,Computer Peripherals,Small Box,Adesso Programmable 142-Key Keyboard,United States,Texas,04/09/2015,04/11/2015,1,152.48,0.02,162.91,-564.6024
Medium,4,Franklin Spencer,Express Air,Corporate,Technology,Computer Peripherals,Small Box,Adesso Programmable 142-Key Keyboard,United States,Kansas,03/22/2015,03/23/2015,4,152.48,0.1,558.17,-521.09
Critical,6.5,Steve McKee,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Adesso Programmable 142-Key Keyboard,United States,Tennessee,05/14/2015,05/16/2015,35,152.48,0.07,5062.49,171.8388
Critical,69,Alison Peters Wooten,Express Air,Corporate,Furniture,Tables,Large Box,Laminate Occasional Tables,United States,New York,03/14/2015,03/15/2015,10,154.13,0.09,1494.63,-1763.7477
Low,69,Rhonda Ivey,Express Air,Home Office,Furniture,Tables,Large Box,Laminate Occasional Tables,United States,Pennsylvania,03/16/2015,03/16/2015,3,154.13,0.07,453.62,-634.7341
Critical,69,Denise Carver,Regular Air,Corporate,Furniture,Tables,Large Box,Laminate Occasional Tables,United States,Ohio,02/02/2015,02/03/2015,8,154.13,0.1,1216.32,-372.485971
Critical,69,Lindsay P Ashley,Express Air,Corporate,Furniture,Tables,Large Box,Laminate Occasional Tables,United States,California,03/14/2015,03/15/2015,38,154.13,0.09,5679.59,-1763.7477
High,7.07,Troy Cassidy,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Dual Level  Single-Width Filing Carts,United States,California,05/19/2015,05/19/2015,14,155.06,0.07,2039.07,-121.75
High,7.07,Lindsay Tate,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Dual Level  Single-Width Filing Carts,United States,Oklahoma,05/19/2015,05/19/2015,3,155.06,0.07,436.94,24.35
Low,7.07,Ellen McCormick,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Dual Level  Single-Width Filing Carts,United States,California,01/02/2015,01/09/2015,8,155.06,0.05,1225.6,845.664
Low,7.07,Scott Bunn,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Dual Level  Single-Width Filing Carts,United States,New York,01/02/2015,01/09/2015,32,155.06,0.05,4902.38,575.396
High,8.99,Dwight Albright Huffman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,CF 688,United States,California,04/19/2015,04/20/2015,5,155.99,0.01,675.83,-219.07908
High,8.99,Erika Fink,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,CF 688,United States,Utah,02/21/2015,02/23/2015,4,155.99,0.09,497.11,-232.22056
Critical,8.08,Kristine Singleton,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,300 Series Non-Flip,United States,Illinois,03/04/2015,03/05/2015,22,155.99,0.04,2800.33,1374.948
Medium,60,Brenda Jain,Delivery Truck,Corporate,Furniture,Tables,Jumbo Drum,Hon Non-Folding Utility Tables,United States,Pennsylvania,05/20/2015,05/22/2015,41,159.31,0.09,6173.42,77.0008954000001
Critical,5.5,Julian Keith Mayer,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Gyration RF Keyboard,United States,Florida,04/19/2015,04/21/2015,23,159.99,0.05,3600.65,12.264
Not Specified,30,Laurie Moon,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,New York,03/22/2015,03/25/2015,11,160.98,0.03,1828.22,1261.4718
High,35.02,Randy Jiang,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,Rush Hierlooms Collection Rich Wood Bookcases,United States,Connecticut,06/20/2015,06/21/2015,18,160.98,0.09,2653.02,-229.93
Medium,30,Richard Tan,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,Idaho,05/04/2015,05/05/2015,18,160.98,0.03,2934.16,1304.9
Medium,30,Malcolm Floyd,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,Texas,02/16/2015,02/19/2015,1,160.98,0.02,192.49,-51.116
Low,30,Laurie Howe,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,Minnesota,01/31/2015,01/31/2015,11,160.98,0.09,1635.38,357.428
Not Specified,30,Eddie House Mueller,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,Illinois,05/03/2015,05/05/2015,37,160.98,0.04,6276.34,116.1
Medium,30,April Bowers,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,Texas,01/31/2015,02/02/2015,10,160.98,0.01,1634.67,788.79
Not Specified,30,Max McKenna,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,Kansas,05/03/2015,05/05/2015,9,160.98,0.04,1526.68,255.42
Low,35.02,Christopher Bryant,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,Rush Hierlooms Collection Rich Wood Bookcases,United States,California,03/20/2015,03/24/2015,8,160.98,0.06,1232.01,-229.68
Low,30,Joel Buckley,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,United States,Nebraska,02/06/2015,02/10/2015,11,160.98,0.03,1845.23,1273.2087
Low,35.02,Neal Wolfe,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,Rush Hierlooms Collection Rich Wood Bookcases,United States,Washington,03/20/2015,03/24/2015,30,160.98,0.06,4620.05,-229.68
Critical,19.99,Samantha Weaver,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,United States,Kansas,04/02/2015,04/04/2015,19,161.55,0,3108.98,1167.158
Critical,19.99,Leroy Blanchard,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,United States,Michigan,04/02/2015,04/04/2015,77,161.55,0,12599.55,1014.92
Low,19.99,Norman Shields,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,United States,California,06/03/2015,06/08/2015,19,161.55,0.05,3127.69,1892.424
Critical,19.99,Allen Nash,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,United States,Virginia,03/08/2015,03/08/2015,4,161.55,0.02,657.61,664.518
